Actor Name,Year,Pivotal Year?,Total Receipts ($),H3: Yearly Growth (%),H3a: Rolling Volatility (3-Year Window)
ACP,2011,No,347200,NA,NA
ACP,2012,No,108000,-0.689,NA
ACP,2013,No,826390,6.652,NA
ACP,2014,No,1042761,0.262,399.21
ACP,2015,No,920936,-0.117,380.325
ACP,2016,No,1052227,0.143,19.36
ACP,2017,No,1131359,0.075,13.46
ACP,2019,No,1022905,-0.096,12.291
ACP,2020,No,956023,-0.065,9.125
ACP,2021,No,2405958,1.517,92.23
ACP,2022,No,1192160,-0.504,106.306
ACP,2023,No,1292805,0.084,103.947
AJP,2016,No,316478,NA,NA
AJP,2017,No,265605,-0.161,NA
AJP,2018,No,616243,1.32,NA
AJP,2019,No,1006647,0.634,74.11
AJP,2020,No,1093852,0.087,61.808
AJP,2021,No,932534,-0.147,40.08
AJP,2022,No,1141497,0.224,18.786
AJP,2023,No,730620,-0.36,29.56
ALP,2017,No,10307199,NA,NA
ALP,2018,No,48162246,3.673,NA
ALP,2019,No,8816505,-0.817,NA
ALP,2020,No,9175665,0.041,238.339
ALP,2021,No,54766684,4.969,312.233
ALP,2022,No,17572183,-0.679,307.411
ALP,2023,No,13598360,-0.226,313.819
Greens,1998,Yes,41067,NA,NA
Greens,1999,No,70407,0.714,NA
Greens,2000,No,358767,4.096,NA
Greens,2001,Yes,1428661,2.982,172.311
Greens,2002,No,266171,-0.814,257.389
Greens,2003,No,247382,-0.071,201.162
Greens,2004,No,589272,1.382,111.68
Greens,2005,No,167733,-0.715,107.431
Greens,2006,No,154274,-0.08,107.553
Greens,2007,Yes,1425402,8.239,499.68
Greens,2008,No,366002,-0.743,500.573
Greens,2010,Yes,367533,0.004,498.44
Greens,2011,No,3255278,7.857,476.432
Greens,2012,No,1961173,-0.398,465.419
Greens,2013,Yes,4298614,1.192,437.97
Greens,2014,No,878486,-0.796,105.157
Greens,2015,No,1753474,0.996,109.533
Greens,2016,Yes,1146938,-0.346,93.212
Greens,2017,No,1731216,0.509,67.935
Greens,2018,No,2968322,0.715,56.248
Greens,2019,Yes,1388050,-0.532,66.863
Greens,2020,No,1804199,0.3,63.502
Greens,2021,No,2245579,0.245,46.536
Greens,2022,Yes,2920905,0.301,3.212
Greens,2023,No,2032073,-0.304,33.43
KAP,2011,No,1948507,NA,NA
KAP,2012,No,1333974,-0.315,NA
KAP,2013,No,449951,-0.663,NA
KAP,2014,No,564644,0.255,46.329
KAP,2015,No,391343,-0.307,46.264
KAP,2016,No,399100,0.02,28.215
KAP,2017,No,386684,-0.031,17.58
KAP,2018,No,126126,-0.674,38.661
KAP,2019,No,378648,2.002,139.69
KAP,2020,No,754066,0.991,135.126
KAP,2021,No,295238,-0.608,131.634
KAP,2022,No,500809,0.696,85.141
KAP,2023,No,321996,-0.357,69.223
LPA,2017,No,5278530,NA,NA
LPA,2018,No,43754442,7.289,NA
LPA,2019,No,10249055,-0.766,NA
LPA,2020,No,8253273,-0.195,449.473
LPA,2021,No,15936373,0.931,86.331
LPA,2022,No,37327637,1.342,79.569
LPA,2023,No,7209788,-0.807,114.075
McGowan/Haines,2013,No,206030,NA,NA
McGowan/Haines,2016,No,286094,0.389,NA
McGowan/Haines,2019,No,513653,0.795,NA
McGowan/Haines,2021,No,70307,-0.863,86.439
McGowan/Haines,2022,No,486639.57,5.922,353.699
McGowan/Haines,2023,No,61697,-0.873,392.01
McGowan/Haines,2025,No,629318,9.2,513.795
Nationals,2018,No,2146852,NA,NA
Nationals,2019,No,1140971,-0.469,NA
Nationals,2020,No,1279045,0.121,NA
Nationals,2021,No,2124115,0.661,56.48
Nationals,2022,No,1766299,-0.168,42.082
Nationals,2023,No,1568016,-0.112,46.335
One Nation,1998,No,24791,NA,NA
One Nation,1999,No,126516,4.103,NA
One Nation,2000,No,89663,-0.291,NA
One Nation,2001,Yes,700786,6.816,358.656
One Nation,2002,No,10167,-0.985,431.764
One Nation,2003,No,21515,1.116,403.655
One Nation,2004,No,25707,0.195,105.348
One Nation,2011,No,25919,0.008,59.317
One Nation,2012,No,14000,-0.46,33.728
One Nation,2014,No,68628,3.902,239.465
One Nation,2015,No,397914,4.798,281.292
One Nation,2016,Yes,1757310,3.416,70.1
One Nation,2017,No,1323693,-0.247,260.699
One Nation,2018,No,691230,-0.478,218.462
One Nation,2019,Yes,5367910,6.766,411.698
One Nation,2020,No,307734,-0.943,432.251
One Nation,2022,No,4013715,12.043,653.056
One Nation,2023,No,379768,-0.905,748.643
Shooters,2010,No,21050,NA,NA
Shooters,2011,No,30000,0.425,NA
Shooters,2012,No,80000,1.667,NA
Shooters,2013,No,249711,2.121,87.799
Shooters,2014,No,71313,-0.714,152.305
Shooters,2015,No,79000,0.108,145.902
Shooters,2016,No,90456,0.145,48.58
Shooters,2017,No,27600,-0.695,47.453
Shooters,2018,No,167806,5.08,312.002
Shooters,2019,No,110014,-0.344,323.766
Shooters,2020,No,46322,-0.579,320.159
Shooters,2021,No,90331,0.95,82.346
Shooters,2022,No,53202,-0.411,83.852
Shooters,2023,No,30000,-0.436,79.317
Wilkie,2010,Yes,59968,NA,NA
Wilkie,2013,No,170565,1.844,NA
Wilkie,2016,No,175644.92,0.03,NA
Wilkie,2019,No,116302,-0.338,116.827
Wilkie,2021,No,4290,-0.963,50.199
Wilkie,2022,No,160140,36.329,2135.221
Wilkie,2023,No,12597,-0.921,2151.837
Wilkie,2025,No,66861,4.308,2016.701
