Actor Name,Year,Pivotal Year?,Total Receipts ($),H3: Yearly Growth (%),H3a: Rolling Volatility (3-Year Window)
ACP,2011,No,347200,NA,NA
ACP,2012,No,108000,-0.6889400921658986,NA
ACP,2013,No,826390,6.65175925925926,NA
ACP,2014,No,1042761,0.26182674040102133,399.2097655232669
ACP,2015,No,920936,-0.11682926384857124,380.3253181165288
ACP,2016,No,1052227,0.14256256677988483,19.36011511934531
ACP,2017,No,1131359,0.0752043047745401,13.459702122464764
ACP,2019,No,1022905,-0.0958617026072184,12.291382250360785
ACP,2020,No,956023,-0.06538437098264258,9.12483994157783
ACP,2021,No,2405958,1.5166319220353486,92.23014789671781
ACP,2022,No,1192160,-0.5044967534761621,106.30581952405392
ACP,2023,No,1292805,0.08442239296738693,103.94719027127657
AJP,2016,No,316478,NA,NA
AJP,2017,No,265605,-0.1607473505267349,NA
AJP,2018,No,616243,1.3201483405809378,NA
AJP,2019,No,1006647,0.6335228148636172,74.1099606006403
AJP,2020,No,1093852,0.08662917586800536,61.807723285666874
AJP,2021,No,932534,-0.14747698957445798,40.08031610829161
AJP,2022,No,1141497,0.2240808378032329,18.786248301730357
AJP,2023,No,730620,-0.35994575544219565,29.560256459556488
ALP,2017,No,10307199,NA,NA
ALP,2018,No,48162246,3.672680327604037,NA
ALP,2019,No,8816505,-0.8169415728660162,NA
ALP,2020,No,9175665,0.04073723090952708,238.3391435093177
ALP,2021,No,54766684,4.968688264011382,312.23342476546156
ALP,2022,No,17572183,-0.6791446602828829,307.41109300809427
ALP,2023,No,13598360,-0.22614281902254263,313.8192085426018
Greens,1998,Yes,41067,NA,NA
Greens,1999,No,70407,0.7144422529037914,NA
Greens,2000,No,358767,4.095615492777707,NA
Greens,2001,Yes,1428661,2.982141612801623,172.31084772540925
Greens,2002,No,266171,-0.8136919815127591,257.3890590598821
Greens,2003,No,247382,-0.07058995908645194,201.1621375137559
Greens,2004,No,589272,1.3820326458675247,111.6804943237749
Greens,2005,No,167733,-0.7153555573656987,107.43115923084234
Greens,2006,No,154274,-0.08024062050997717,107.55348563731337
Greens,2007,Yes,1425402,8.239418178046853,499.68000787146394
Greens,2008,No,366002,-0.743228927698993,500.5733796461774
Greens,2010,Yes,367533,0.004183037251162562,498.44035332877945
Greens,2011,No,3255278,7.857103987941219,476.4324337598179
Greens,2012,No,1961173,-0.397540547996208,465.4189970900995
Greens,2013,Yes,4298614,1.1918586478602347,437.97039789986945
Greens,2014,No,878486,-0.7956350581838705,105.15702761739696
Greens,2015,No,1753474,0.996018149407048,109.53314527781193
Greens,2016,Yes,1146938,-0.345905328507865,93.21155746119089
Greens,2017,No,1731216,0.5094242234541013,67.93527448747344
Greens,2018,No,2968322,0.7145878965998466,56.24835783880668
Greens,2019,Yes,1388050,-0.5323788995937773,66.86269601180665
Greens,2020,No,1804199,0.2998083642520082,63.50201956593213
Greens,2021,No,2245579,0.24464041937724165,46.53561658026079
Greens,2022,Yes,2920905,0.30073580132340033,3.21223031472737
Greens,2023,No,2032073,-0.3043002083258442,33.43030256097562
KAP,2011,No,1948507,NA,NA
KAP,2012,No,1333974,-0.3153866011258877,NA
KAP,2013,No,449951,-0.6626988232154449,NA
KAP,2014,No,564644,0.2549010892297161,46.32931808806893
KAP,2015,No,391343,-0.30692082090662437,46.26394285249707
KAP,2016,No,399100,0.019821486522053545,28.215445350087226
KAP,2017,No,386684,-0.031109997494362315,17.579636033361684
KAP,2018,No,126126,-0.673826690527666,38.661491545036974
KAP,2019,No,378648,2.002140716426431,139.69010210846312
KAP,2020,No,754066,0.9914696499123197,135.12629567218596
KAP,2021,No,295238,-0.6084719374696644,131.63438960751333
KAP,2022,No,500809,0.6962890955771276,85.14053084997518
KAP,2023,No,321996,-0.3570482958573029,69.22348904229021
LPA,2017,No,5278530,NA,NA
LPA,2018,No,43754442,7.289133906598996,NA
LPA,2019,No,10249055,-0.7657596684697751,NA
LPA,2020,No,8253273,-0.19472839203224102,449.472991641745
LPA,2021,No,15936373,0.9309155289059262,86.33131607171684
LPA,2022,No,37327637,1.3422918753219444,79.56900608269922
LPA,2023,No,7209788,-0.8068512078597421,114.07511941543518
McGowan/Haines,2013,No,206030,NA,NA
McGowan/Haines,2016,No,286094,0.38860360141726935,NA
McGowan/Haines,2019,No,513653,0.7953994141785568,NA
McGowan/Haines,2021,No,70307,-0.8631235483877248,86.43882333958013
McGowan/Haines,2022,No,486639.57,5.921637532535878,353.69949248072834
McGowan/Haines,2023,No,61697,-0.8732182835029219,392.0100984873753
McGowan/Haines,2025,No,629318,9.20013939089421,513.7949896478668
Nationals,2018,No,2146852,NA,NA
Nationals,2019,No,1140971,-0.46853765420252536,NA
Nationals,2020,No,1279045,0.12101446925469622,NA
Nationals,2021,No,2124115,0.6607038845388552,56.48042174154506
Nationals,2022,No,1766299,-0.16845415620152393,42.082454907354105
Nationals,2023,No,1568016,-0.11225902296270338,46.33451927554329
One Nation,1998,No,24791,NA,NA
One Nation,1999,No,126516,4.103303618248558,NA
One Nation,2000,No,89663,-0.29129122008283537,NA
One Nation,2001,Yes,700786,6.8157768533285745,358.6558039964829
One Nation,2002,No,10167,-0.9854920046918746,431.76406968886613
One Nation,2003,No,21515,1.1161601258975116,403.6549027588264
One Nation,2004,No,25707,0.1948408087380897,105.34828358546005
One Nation,2011,No,25919,0.008246781032403625,59.3172065407209
One Nation,2012,No,14000,-0.45985570430957984,33.728444774787874
One Nation,2014,No,68628,3.902,239.46544375692946
